Title,Price,Link,Image,Availability,ID,Brand,Size,Resolution,Refresh Rate,Response Time,Contrast,Brightness,Viewing Angle,Curvature,Connectors,Audio Ports,Flicker Free,Blue Light Filter,Adaptive Sync,Panel Type
"Ecran pc Gamer incurvé GIGABYTE GS27FC 27"" FHD - 180Hz, 1ms","559,000 TND",https://www.scoopgaming.com.tn/13934-ecran-pc-gamer-incurve-gigabyte-gs27fc-27-fhd-180hz-1ms.html,https://www.scoopgaming.com.tn/20799-home_default/ecran-pc-gamer-incurve-gigabyte-gs27fc-27-fhd-180hz-1ms.jpg,Disponible,GS27FC,"curved gigabyte gs27 fc 27""",27,fhd,180 hz,1 ms,3000:1,250 cd/m²,Unknown Viewing Angle,1500r,"['hdmi', 'displayport']",No,No,No,No,va
"Ecran Gamer Incurvé Aiwa MD290K, VA 29"" FHD, 180 Hz, 1 ms","585,000 TND",https://www.scoopgaming.com.tn/14042-ecran-gamer-incurve-aiwa-md290k-va-29-fhd-180-hz-1-ms.html,https://www.scoopgaming.com.tn/21870-home_default/ecran-gamer-incurve-aiwa-md290k-va-29-fhd-180-hz-1-ms.jpg,Hors stock,MD290K-V,incurve aiwa md290k,29,fhd,180 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown Curvature,"['hdmi', 'displayport']",No,No,No,No,va
"Ecran Gamer DAHUA Curved - LM27-E230C, 180Hz - 1ms, 27"" FHD","589,000 TND",https://www.scoopgaming.com.tn/14017-ecran-gamer-dahua-curved-lm27-e230c-180hz-1ms-27-fhd.html,https://www.scoopgaming.com.tn/21695-home_default/ecran-gamer-dahua-curved-lm27-e230c-180hz-1ms-27-fhd.jpg,Hors stock,DHI-LM27-E230C,incurve dahua lm27-e230c,27,fhd,180 hz,1 ms,4000:1,Unknown Brightness,178°h / 178°v,1500r,"['audio', 'hdmi', 'displayport']",Yes,No,No,Yes,va
"Ecran Gamer MSI G2712F, 27'' Fast IPS FHD, 180 HZ, 1ms","599,000 TND",https://www.scoopgaming.com.tn/13925-ecran-gamer-msi-g2712f-27-fast-ips-fhd-180-hz-1ms.html,https://www.scoopgaming.com.tn/20738-home_default/ecran-gamer-msi-g2712f-27-fast-ips-fhd-180-hz-1ms.jpg,Disponible,9S6-3CD61T-008,"msi g2712f 27""",27,fhd,180 hz,1 ms,16:9,300 cd/m²,Unknown Viewing Angle,Unknown Curvature,['hdmi'],No,No,No,No,ips
"Ecran Gamer incurvé MAG 276CXF, RAPID VA 27"" FHD - 280Hz - 0.5ms","619,000 TND",https://www.scoopgaming.com.tn/14115-ecran-gamer-incurve-mag-276cxf-rapid-va-27-fhd-280hz-05ms.html,https://www.scoopgaming.com.tn/22491-home_default/ecran-gamer-incurve-mag-276cxf-rapid-va-27-fhd-280hz-05ms.jpg,Hors stock,9S6-3CE01M-014,incurve msi mag mag 276 cxf,27,fhd,280 hz,5 ms,4000:1,300 cd/m²,178°h / 178°v,1500r,"['audio', 'hdmi', 'displayport']",No,No,No,No,va
"Ecran Gamer incurvé MSI MAG 27C6X, VA 27"" FHD - 240Hz - 1ms","659,000 TND",https://www.scoopgaming.com.tn/14075-ecran-gamer-incurve-msi-mag-27c6x-va-27-fhd-240hz-1ms.html,https://www.scoopgaming.com.tn/22126-home_default/ecran-gamer-incurve-msi-mag-27c6x-va-27-fhd-240hz-1ms.jpg,Disponible,MAG-27C6X,incurve msi mag 27c6x,27,fhd,240 hz,1 ms,Unknown Contrast,Unknown Brightness,178°h / 178°v,1500r,"['audio', 'hdmi', 'displayport']",No,No,No,No,va
"Ecran Gaming incurvé GIGABYTE GS27QCA 27"" QHD, 1ms, 180Hz","679,000 TND",https://www.scoopgaming.com.tn/14114-ecran-gaming-incurve-gigabyte-gs27qca-27-qhd-1ms-180hz.html,https://www.scoopgaming.com.tn/22476-home_default/ecran-gaming-incurve-gigabyte-gs27qca-27-qhd-1ms-180hz.jpg,Hors stock,GS27QCA,"incurve gigabyte gs27 qca 27""",27,qhd,180 hz,1 ms,5000:1,250 cd/m²,Unknown Viewing Angle,1500r,"['hdmi', 'displayport']",No,No,No,No,va
"Ecran Gamer MSI Optix MAG241CVSFR 24"" FHD, 1ms, 144Hz","679,000 TND",https://www.scoopgaming.com.tn/12010-ecran-gamer-msi-optix-mag241cvsfr-24-fhd-1ms-144hz.html,https://www.scoopgaming.com.tn/11115-home_default/ecran-gamer-msi-optix-mag241cvsfr-24-fhd-1ms-144hz.jpg,Disponible,9S6-3EA21T-049,Unknown Brand,24,fhd,144 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown Curvature,['displayport'],No,No,No,No,va
"Ecran incurvé Lenovo Legion R27fc-30, VA 27"" FHD - 240Hz - 0.5ms","699,000 TND",https://www.scoopgaming.com.tn/14025-ecran-incurve-lenovo-legion-r27fc-30-va-27-fhd-240hz-05ms.html,https://www.scoopgaming.com.tn/21733-home_default/ecran-incurve-lenovo-legion-r27fc-30-va-27-fhd-240hz-05ms.jpg,Hors stock,67B6GAC1EU,incurve lenovo legion r27 fc-30,27,fhd,240 hz,5 ms,3000:1,350 cd/m²,178°h / 178°v,1500r,"['audio', 'hdmi']",No,No,No,No,va
"Ecran Gaming MSI MAG 255XF - 24,5"" FHD - 300Hz, 0.5ms","799,000 TND",https://www.scoopgaming.com.tn/14047-ecran-gaming-msi-mag-255xf-245-fhd-300hz-05ms.html,https://www.scoopgaming.com.tn/21899-home_default/ecran-gaming-msi-mag-255xf-245-fhd-300hz-05ms.jpg,Disponible,9S6-3BC21M-021,msi mag 255 xf,24.5,fhd,300 hz,5 ms,16:9,250 cd/m²,178°h/178°v,Unknown Curvature,['Unknown Connectors'],No,No,No,No,ips
"Ecran Gamer ViewSonic incurvé 32"" FHD - 1ms - 165Hz","1 299,000 TND",https://www.scoopgaming.com.tn/13814-ecran-gamer-viewsonic-incurve-32-fhd-1ms-165hz.html,https://www.scoopgaming.com.tn/20122-home_default/ecran-gamer-viewsonic-incurve-32-fhd-1ms-165hz.jpg,Hors stock,VX3218-PC-MHD,"viewsonic incurve 32""",32,fhd,165 hz,1 ms,3000:1,300 cd/m²,178°h/178°v,1500r,"['audio', 'hdmi', 'displayport']",Yes,Yes,Yes,No,va
